symbol,company,website,sector
ROK,Rockwell Automation,rockwellautomation.com,Industrials
ROL,"Rollins, Inc.",rollins.com,Industrials
ROST,Ross Stores,rossstores.com,Consumer Discretionary
RSG,Republic Services,republicservices.com,Industrials
RTX,RTX Corporation,rtx.com,Industrials
SBAC,SBA Communications,sbasite.com,Real Estate
SHW,Sherwin-Williams,sherwin-williams.com,Materials
SJM,J.M. Smucker Company (The),jmsmucker.com,Consumer Staples
SLB,Schlumberger,slb.com,Energy
SMCI,Supermicro,supermicro.com,Information Technology
SNA,Snap-on,snapon.com,Industrials
SNDK,Sandisk,sandisk.com,Information Technology
SNPS,Synopsys,synopsys.com,Information Technology
SO,Southern Company,southerncompany.com,Utilities
SOLV,Solventum,solventum.com,Health Care
SPGI,S&P Global,spglobal.com,Financials
STE,Steris,steris.com,Health Care
STLD,Steel Dynamics,steeldynamics.com,Materials
STT,State Street Corporation,statestreet.com,Financials
STX,Seagate Technology,seagate.com,Information Technology
STZ,Constellation Brands,cbrands.com,Consumer Staples
SW,Smurfit Westrock,smurfitwestrock.com,Materials
SWK,Stanley Black & Decker,stanleyblackanddecker.com,Industrials
SWKS,Skyworks Solutions,skyworksinc.com,Information Technology
SYF,Synchrony Financial,synchrony.com,Financials
SYK,Stryker Corporation,stryker.com,Health Care
SYY,Sysco,sysco.com,Consumer Staples
T,AT&T,att.com,Communication Services
TAP,Molson Coors Beverage Company,molsoncoors.com,Consumer Staples
TDG,TransDigm Group,transdigm.com,Industrials
TDY,Teledyne Technologies,teledyne.com,Information Technology
TECH,Bio-Techne,bio-techne.com,Health Care
TEL,TE Connectivity,te.com,Information Technology
TER,Teradyne,teradyne.com,Information Technology
TFC,Truist Financial,truist.com,Financials
TGT,Target Corporation,corporate.target.com,Consumer Staples
TPL,Texas Pacific Land Corporation,texaspacific.com,Energy
TPR,"Tapestry, Inc.",tapestry.com,Consumer Discretionary
TRMB,Trimble Inc.,trimble.com,Information Technology
TRV,Travelers Companies (The),travelers.com,Financials
TSLA,"Tesla, Inc.",tesla.com,Consumer Discretionary
TSN,Tyson Foods,tysonfoods.com,Consumer Staples
TT,Trane Technologies,tranetechnologies.com,Industrials
TTWO,Take-Two Interactive,take2games.com,Communication Services
TXN,Texas Instruments,ti.com,Information Technology
TXT,Textron,textron.com,Industrials
UAL,United Airlines Holdings,united.com,Industrials
UDR,"UDR, Inc.",udr.com,Real Estate
ULTA,Ulta Beauty,ulta.com,Consumer Discretionary
UNH,UnitedHealth Group,unitedhealthgroup.com,Health Care
UPS,United Parcel Service,ups.com,Industrials
URI,United Rentals,unitedrentals.com,Industrials
V,Visa Inc.,visa.com,Financials
VEEV,Veeva Systems,veeva.com,Health Care
VICI,Vici Properties,viciproperties.com,Real Estate
VLO,Valero Energy,valero.com,Energy
VLTO,Veralto,veralto.com,Industrials
VMRK,Vivmark Residential,vivmarkresidential.com,Real Estate
VRSK,Verisk Analytics,verisk.com,Industrials
VRT,Vertiv,vertiv.com,Industrials
VRTX,Vertex Pharmaceuticals,vrtx.com,Health Care
VST,Vistra Corp.,vistracorp.com,Utilities
VTR,Ventas,ventasreit.com,Real Estate
VTRS,Viatris,viatris.com,Health Care
VZ,Verizon,verizon.com,Communication Services
WAB,Wabtec,wabteccorp.com,Industrials
WAT,Waters Corporation,waters.com,Health Care
WBD,Warner Bros. Discovery,wbd.com,Communication Services
WDAY,"Workday, Inc.",workday.com,Information Technology
WDC,Western Digital,westerndigital.com,Information Technology
WEC,WEC Energy Group,wecenergygroup.com,Utilities
WELL,Welltower,welltower.com,Real Estate
WFC,Wells Fargo,wellsfargo.com,Financials
WM,Waste Management,wm.com,Industrials
WMB,Williams Companies,williams.com,Energy
WMT,Walmart,stock.walmart.com,Consumer Staples
WRB,W. R. Berkley Corporation,berkley.com,Financials
WSM,"Williams-Sonoma, Inc.",williams-sonomainc.com,Consumer Discretionary
WTW,Willis Towers Watson,wtwco.com,Financials
WY,Weyerhaeuser,weyerhaeuser.com,Real Estate
WYNN,Wynn Resorts,wynnresorts.com,Consumer Discretionary
XEL,Xcel Energy,my.xcelenergy.com/s,Utilities
XOM,ExxonMobil,corporate.exxonmobil.com,Energy
XYL,Xylem Inc.,xylem.com,Industrials
XYZ,"Block, Inc.",block.xyz,Financials
YUM,Yum! Brands,yum.com,Consumer Discretionary
ZBH,Zimmer Biomet,zimmerbiomet.com,Health Care
ZTS,Zoetis,zoetis.com,Health Care
